10;32;;24;0,01
10;100;;68;0
20;89;;71;0
20;400;;315;0,03
50;354;;305;0,06
50;2500;;2141;0,92
----
10;32;0,1;29;0
10;32;0,2;29;0
10;32;0,3;28;0
10;32;0,4;30;0
10;32;0,5;25;0
10;32;0,6;25;0
10;32;0,7;30;0
10;32;0,8;25;0
10;32;0,9;33;0
10;100;0,1;85;0,01
10;100;0,2;91;0,01
10;100;0,3;92;0,01
10;100;0,4;86;0
10;100;0,5;87;0
10;100;0,6;89;0,01
10;100;0,7;83;0,01
10;100;0,8;90;0
10;100;0,9;81;0,01
20;89;0,1;83;0,01
20;89;0,2;87;0
20;89;0,3;83;0,01
20;89;0,4;89;0
20;89;0,5;87;0,01
20;89;0,6;91;0,01
20;89;0,7;86;0
20;89;0,8;89;0
20;89;0,9;91;0,01
20;400;0,1;381;0,03
20;400;0,2;379;0,03
20;400;0,3;383;0,03
20;400;0,4;383;0,04
20;400;0,5;381;0,04
20;400;0,6;376;0,06
20;400;0,7;372;0,04
20;400;0,8;368;0,03
20;400;0,9;368;0,03
50;354;0,1;348;0,06
50;354;0,2;351;0,05
50;354;0,3;354;0,05
50;354;0,4;347;0,04
50;354;0,5;344;0,05
50;354;0,6;353;0,04
50;354;0,7;345;0,05
50;354;0,8;360;0,05
50;354;0,9;347;0,04
50;2500;0,1;2452;0,71
50;2500;0,2;2457;0,73
50;2500;0,3;2451;0,69
50;2500;0,4;2453;0,7
50;2500;0,5;2479;0,68
50;2500;0,6;2459;0,65
50;2500;0,7;2454;0,62
50;2500;0,8;2475;0,62
50;2500;0,9;2448;0,64
